STT, PO boxing, Lot boxing, Barcode, Line, Model, Time test FU, Time boxing, PIC boxing, Status Lot, Qty_PO
1,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011770R,6,Composite Main,2023-03-10 03:12:28,3/10/2023 9:40:41 AM,1,Open,147
2,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011690R,6,Composite Main,2023-03-10 02:46:08,3/10/2023 9:40:44 AM,1,Open,147
3,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011680R,6,Composite Main,2023-03-10 03:20:00,3/10/2023 9:41:03 AM,1,Open,147
4,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011670R,6,Composite Main,2023-03-10 03:16:18,3/10/2023 9:41:06 AM,1,Open,147
5,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011780R,6,Composite Main,2023-03-10 03:04:56,3/10/2023 9:41:10 AM,1,Open,147
6,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011580R,6,Composite Main,2023-03-10 03:35:05,3/10/2023 9:41:29 AM,1,Open,147
7,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V012120R,6,Composite Main,2023-03-10 03:08:47,3/10/2023 9:41:32 AM,1,Open,147
8,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011700R,6,Composite Main,2023-03-10 03:31:23,3/10/2023 9:41:54 AM,1,Open,147
9,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011930R,6,Composite Main,2023-03-10 03:42:39,3/10/2023 9:41:57 AM,1,Open,147
10,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011860R,6,Composite Main,2023-03-10 02:34:47,3/10/2023 9:42:19 AM,1,Open,147
11,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V012030R,6,Composite Main,2023-03-10 02:53:41,3/10/2023 9:43:23 AM,1,Open,147
12,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011760R,6,Composite Main,2023-03-10 02:42:19,3/10/2023 9:43:26 AM,1,Open,147
13,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V012130R,6,Composite Main,2023-03-10 02:57:23,3/10/2023 9:43:39 AM,1,Open,147
14,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011740R,6,Composite Main,2023-03-10 03:23:51,3/10/2023 9:43:43 AM,1,Open,147
15,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011660R,6,Composite Main,2023-03-10 03:27:34,3/10/2023 9:43:46 AM,1,Open,147
16,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011650R,6,Composite Main,2023-03-10 03:50:11,3/10/2023 10:14:06 AM,1,Open,147
17,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011640R,6,Composite Main,2023-03-10 03:54:08,3/10/2023 10:16:17 AM,1,Open,147
18,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011830R,6,Composite Main,2023-03-10 03:38:56,3/10/2023 10:16:20 AM,1,Open,147
19,20230310_Day_Composite Main_6,VPM23031006BA7010,230227V011590R,6,Composite Main,2023-03-10 03:57:51,3/10/2023 10:16:23 AM,1,Open,147
